City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chuy,UY,-33.6971,-53.4616,70.11,96,100,12.33,light rain
80,Atuona,PF,-9.8,-139.0333,81.07,75,33,21.77,scattered clouds
81,Bilibino,RU,68.0546,166.4372,-2.11,82,45,1.19,scattered clouds
82,Leningradskiy,RU,69.3833,178.4167,-12.48,95,77,1.41,broken clouds
83,Dzilam Gonzalez,MX,21.2833,-88.9333,76.93,77,1,9.89,clear sky
84,Kourou,GF,5.1552,-52.6478,78.8,83,75,4.61,broken clouds
85,Cape Town,ZA,-33.9258,18.4232,68.0,77,75,13.8,broken clouds
86,Berlevag,NO,70.8578,29.0864,27.0,76,41,16.2,scattered clouds
87,Lagos,NG,6.5833,3.75,75.96,89,80,0.56,broken clouds
88,Oudtshoorn,ZA,-33.5907,22.2014,71.6,56,0,5.75,clear sky
89,Saint George,US,37.1041,-113.5841,55.99,22,90,9.22,overcast clouds
90,Ribeira Grande,PT,38.5167,-28.7,57.15,63,75,12.57,broken clouds
91,Jumla,NP,29.2747,82.1838,62.44,11,0,3.62,clear sky
92,Kavieng,PG,-2.5744,150.7967,84.25,75,99,14.23,moderate rain
93,Xichang,CN,27.8964,102.2634,71.92,26,0,2.93,clear sky
94,Saint-Francois,FR,46.4154,3.9054,34.0,100,5,1.14,clear sky
95,Yulara,AU,-25.2406,130.9889,91.4,29,40,4.61,scattered clouds
96,Dwarka,IN,22.2394,68.9678,83.61,42,0,12.26,clear sky
97,Yambio,SS,4.5721,28.3955,70.12,84,100,7.34,overcast clouds
98,Bethel,US,41.3712,-73.414,59.0,88,75,6.91,mist
99,Faya,SA,18.3851,42.4509,62.6,58,0,2.55,clear sky
100,Orange Cove,US,36.6244,-119.3137,57.2,51,59,4.61,broken clouds
101,Valentin Gomez Farias,MX,28.2167,-106.5833,50.4,17,44,15.75,scattered clouds
102,Sierra Vista,US,31.5545,-110.3037,52.0,20,1,4.61,clear sky
103,San Quintin,MX,30.4833,-115.95,55.54,76,6,7.7,clear sky
104,Sankt Florian,AT,48.2057,14.3784,37.99,87,85,1.14,overcast clouds
105,Ancud,CL,-41.8697,-73.8203,50.0,75,0,7.0,clear sky
106,Ambon,ID,-3.6954,128.1814,86.0,70,40,3.44,scattered clouds
107,Isabela,PH,6.7085,121.9711,87.8,74,75,5.75,broken clouds
108,Beringovskiy,RU,63.05,179.3167,12.54,88,100,3.83,overcast clouds
109,Ostrovnoy,RU,68.0531,39.5131,29.48,87,100,9.06,overcast clouds
110,Broome,US,42.2506,-75.833,61.0,77,90,11.5,overcast clouds
111,Vestmannaeyjar,IS,63.4427,-20.2734,29.16,84,100,21.39,light snow
112,Cabo San Lucas,MX,22.8909,-109.9124,63.0,82,1,17.27,clear sky
113,Albany,US,42.6001,-73.9662,63.0,79,100,1.99,overcast clouds
114,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,17,0,13.8,clear sky
115,Hit,IQ,33.6416,42.8251,57.27,49,0,6.24,clear sky
116,Faanui,PF,-16.4833,-151.75,83.21,74,30,21.79,light rain
117,Baruun-Urt,MN,46.6806,113.2792,45.37,33,0,18.66,clear sky
118,Chokurdakh,RU,70.6333,147.9167,-12.46,92,83,3.56,broken clouds
119,Kaitangata,NZ,-46.2817,169.8464,64.0,79,100,4.0,overcast clouds
120,Castro,BR,-24.7911,-50.0119,62.42,95,96,2.62,overcast clouds
121,Severo-Kurilsk,RU,50.6789,156.125,30.0,75,100,8.03,overcast clouds
122,Mahebourg,MU,-20.4081,57.7,75.2,94,75,1.74,broken clouds
123,The Valley,AI,18.217,-63.0578,77.0,83,40,12.66,scattered clouds
124,Rafai,CF,4.95,23.9167,69.51,97,100,4.72,overcast clouds
125,Temascalcingo,MX,19.9167,-100.0,62.01,44,28,1.99,scattered clouds
126,Znamenskoye,RU,57.1281,73.8282,28.98,91,100,9.24,overcast clouds
127,Tokur,RU,53.1333,132.9,26.55,64,56,3.96,broken clouds
128,Todos Santos,MX,23.45,-110.2167,63.0,79,3,1.99,clear sky
129,Avera,US,33.194,-82.5271,75.99,78,1,13.8,clear sky
130,Nikolskoye,RU,59.7035,30.7861,34.0,100,75,2.24,mist
131,Kano,NG,12.0001,8.5167,71.6,21,100,4.61,overcast clouds
132,Paamiut,GL,61.994,-49.6678,1.09,80,100,11.72,overcast clouds
133,Kapit,MY,2.0167,112.9333,74.08,99,100,0.45,overcast clouds
134,Scottsbluff,US,41.8666,-103.6672,41.0,65,1,5.75,clear sky
135,Kudahuvadhoo,MV,2.6708,72.8944,82.78,69,36,5.64,scattered clouds
136,Kuruman,ZA,-27.4524,23.4325,57.25,58,0,2.73,clear sky
137,Becal,MX,20.45,-90.0333,82.4,57,1,21.85,clear sky
138,Baiyin,CN,36.5583,104.2081,46.4,42,75,11.18,broken clouds
139,Yarada,IN,17.65,83.2667,86.0,58,91,4.61,haze
140,Dikson,RU,73.5069,80.5464,10.38,92,99,4.54,overcast clouds
141,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,86,3,4.63,clear sky
142,Puerto Escondido,MX,15.85,-97.0667,77.0,83,1,3.91,clear sky
143,Zemio,CF,5.0314,25.1361,69.87,93,100,8.34,overcast clouds
144,Contramaestre,CU,20.2978,-76.2414,77.0,78,20,16.11,few clouds
145,Henties Bay,NA,-22.116,14.2845,63.0,94,78,3.0,broken clouds
146,Noshiro,JP,40.2039,140.0242,51.8,66,40,14.97,scattered clouds
147,Punta Arenas,CL,-53.15,-70.9167,46.4,71,0,44.87,clear sky
148,Takoradi,GH,4.8845,-1.7554,78.15,79,66,4.34,broken clouds
149,Jieshi,CN,22.8134,115.8257,75.0,55,6,15.99,clear sky
150,Nandyal,IN,15.4833,78.4833,91.76,23,58,4.34,broken clouds
151,Torbay,CA,47.6666,-52.7314,43.0,100,90,10.36,overcast clouds
152,Oktyabrskoye,RU,43.0645,44.7417,35.6,93,71,6.71,broken clouds
153,Lumphat,KH,13.4878,106.9816,96.42,31,35,7.47,scattered clouds
154,Imbituba,BR,-28.24,-48.6703,77.0,83,75,4.61,broken clouds
155,Montepuez,MZ,-13.1256,38.9997,67.12,98,26,2.98,scattered clouds
156,Shizunai,JP,42.3339,142.3669,43.16,81,89,13.2,overcast clouds
157,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,4.61,clear sky
158,Oriximina,BR,-1.7656,-55.8661,72.9,95,96,3.42,overcast clouds
159,Constitucion,CL,-35.3333,-72.4167,52.21,83,0,8.72,clear sky
160,Ponta Do Sol,PT,32.6667,-17.1,66.2,63,40,14.97,scattered clouds
161,Siquinala,GT,14.3076,-90.9661,77.0,83,1,1.83,clear sky
162,Alugan,PH,12.2188,125.4808,83.98,68,98,11.92,overcast clouds
163,Khatanga,RU,71.9667,102.5,4.55,87,77,2.15,broken clouds
164,Port Moresby,PG,-9.4431,147.1797,77.0,100,40,11.5,scattered clouds
165,Klaksvik,FO,62.2266,-6.589,37.4,87,75,10.36,broken clouds
166,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,4.61,clear sky
167,Santander,ES,43.4647,-3.8044,48.99,100,100,1.14,mist
168,Bengkulu,ID,-3.8004,102.2655,85.08,64,93,5.01,overcast clouds
169,South Lake Tahoe,US,38.9332,-119.9844,37.99,60,90,8.48,snow
170,Cayenne,GF,4.9333,-52.3333,78.8,83,75,4.61,broken clouds
171,Hervey Bay,AU,-25.2986,152.8535,87.01,45,0,9.22,clear sky
172,Hithadhoo,MV,-0.6,73.0833,83.46,69,88,6.02,overcast clouds
173,Georgetown,MY,5.4112,100.3354,86.0,79,20,2.48,few clouds
174,Wuwei,CN,37.9281,102.6414,55.13,20,39,3.47,scattered clouds
175,Husavik,IS,66.0449,-17.3389,28.4,80,90,14.97,snow
176,Ayan,RU,56.45,138.1667,20.55,56,1,3.22,clear sky
177,Asau,RO,46.4333,26.4,32.0,51,99,5.1,overcast clouds
178,Provideniya,RU,64.3833,-173.3,5.0,72,75,15.66,broken clouds
179,Tahta,EG,26.7693,31.5021,53.6,40,0,5.75,clear sky
180,Kieta,PG,-6.2167,155.6333,84.6,74,84,7.18,moderate rain
181,San Patricio,US,28.017,-97.5169,66.2,59,40,6.91,scattered clouds
182,Guerrero,MX,17.6667,-100.0,66.16,84,10,6.82,clear sky
183,Buin,CL,-33.7333,-70.75,59.0,67,0,8.05,clear sky
184,Grand Gaube,MU,-20.0064,57.6608,75.99,92,77,1.99,broken clouds
185,Kodiak,US,57.79,-152.4072,42.8,56,90,11.5,overcast clouds
186,Evensk,RU,61.95,159.2333,10.17,62,100,3.22,overcast clouds
187,Sandy Bay,AU,-42.913,147.3532,71.01,35,0,13.8,clear sky
188,Tura,IN,25.5198,90.2201,89.35,10,0,6.91,clear sky
189,Talcahuano,CL,-36.7167,-73.1167,51.8,82,0,5.75,clear sky
190,Laguna,US,38.421,-121.4238,57.2,58,1,8.05,clear sky
191,Sainte-Martine,CA,45.2501,-73.7992,50.0,87,100,1.14,overcast clouds
192,Zhanaozen,KZ,43.3,52.8,40.05,78,75,13.29,broken clouds
193,Lillooet,CA,50.6856,-121.942,44.6,65,1,4.61,clear sky
194,Xining,CN,36.6167,101.7667,44.83,41,100,0.69,overcast clouds
195,Arusha,TZ,-3.3667,36.6833,62.6,88,75,2.46,broken clouds
196,Seoul,KR,37.5683,126.9778,62.6,44,100,2.3,haze
197,Oranjemund,NA,-28.55,16.4333,60.33,94,75,0.92,broken clouds
