City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Valentin Gomez Farias,MX,50.4,scattered clouds,28.2167,-106.5833,
102,Sierra Vista,US,52.0,clear sky,31.5545,-110.3037,Gateway Studio Suites
103,San Quintin,MX,55.54,clear sky,30.4833,-115.95,Old Mill Hotel
104,Sankt Florian,AT,37.99,overcast clouds,48.2057,14.3784,Hotel Florianerhof
105,Ancud,CL,50.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
106,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
110,Broome,US,61.0,overcast clouds,42.2506,-75.833,Chenango Valley State Park
112,Cabo San Lucas,MX,63.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Albany,US,63.0,overcast clouds,42.6001,-73.9662,
114,Comodoro Rivadavia,AR,62.6,clear sky,-45.8667,-67.5,Austral Hotel
115,Hit,IQ,57.27,clear sky,33.6416,42.8251,صالون زيرو
116,Faanui,PF,83.21,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Baruun-Urt,MN,45.37,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
119,Kaitangata,NZ,64.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
120,Castro,BR,62.42,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
122,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
124,Rafai,CF,69.51,overcast clouds,4.95,23.9167,
125,Temascalcingo,MX,62.01,scattered clouds,19.9167,-100.0,Hotel Villa Real
128,Todos Santos,MX,63.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
129,Avera,US,75.99,clear sky,33.194,-82.5271,
131,Kano,NG,71.6,overcast clouds,12.0001,8.5167,Havana Guest Inn
133,Kapit,MY,74.08,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
134,Scottsbluff,US,41.0,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
